case,col_rem,feat_eng,outliers,normalization,pca,n_estimators,max_depth,random_state,algorithm,mae_cv_fold_0,mae_cv_fold_1,mae_cv_avg,mse_cv_fold_0,mse_cv_fold_1,mse_cv_avg,r2_cv_fold_0,r2_cv_fold_1,r2_cv_avg,mae_best_model_test_mae,mae_best_model_test_mse,mae_best_model_test_r2,mse_best_model_test_mae,mse_best_model_test_mse,mse_best_model_test_r2,r2_best_model_test_mae,r2_best_model_test_mse,r2_best_model_test_r2,importance,mae_cv_fold_2,mse_cv_fold_2,r2_cv_fold_2,mae_cv_fold_3,mae_cv_fold_4,mse_cv_fold_3,mse_cv_fold_4,r2_cv_fold_3,r2_cv_fold_4
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,200,6,42,XGBRegressor,58394.78557717371,78674.73738894796,68534.76148306084,13768479923.711359,43994135981.29289,28881307952.502125,0.6164401829968817,0.49556333769150385,0.5560017603441928,68337.57427212968,20814019791.579487,0.6857342760960916,68337.57427212968,20814019791.579487,0.6857342760960916,68337.57427212968,20814019791.579487,0.6857342760960916,"_ano                    0.006612
_mes                    0.022630
car_c02_emitido         0.061954
cli_pressao_atm_med     0.006823
cli_temp_ar_med         0.001678
cli_temp_orvalho_med    0.004423
cli_umid_rel_med        0.033806
cli_umid_rel_min_max    0.005822
cli_umid_rel_min_med    0.004260
cli_umid_rel_min_min    0.114248
cli_veloc_vento_max     0.006329
cli_veloc_vento_med     0.004914
que_focos_qtd           0.080727
_estado_AC              0.001950
_estado_AM              0.000363
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.000002
_estado_RR              0.019624
_estado_TO              0.623836
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,200,6,42,XGBRegressor,63044.79569256992,67330.5731139957,71578.89532370782,18776660224.29133,27202974382.023113,34436604605.18115,0.5536942237869451,0.49886030288336725,0.46840067508425093,69652.27727064877,26256352020.287045,0.6035618512254144,69652.27727064877,26256352020.287045,0.6035618512254144,69652.27727064877,26256352020.287045,0.6035618512254144,"_ano                    8.353923e-03
_mes                    1.801950e-02
car_c02_emitido         4.531241e-02
cli_pressao_atm_med     4.384767e-03
cli_temp_ar_med         2.684326e-03
cli_temp_orvalho_med    3.085107e-03
cli_umid_rel_med        1.464765e-02
cli_umid_rel_min_max    8.587836e-03
cli_umid_rel_min_med    1.342421e-01
cli_umid_rel_min_min    3.876313e-02
cli_veloc_vento_max     3.401791e-03
cli_veloc_vento_med     1.953617e-03
que_focos_qtd           6.347504e-02
_estado_AC              3.428827e-04
_estado_AM              4.146723e-07
_estado_AP              0.000000e+00
_estado_PA              0.000000e+00
_estado_RO              3.118917e-05
_estado_RR              5.834231e-03
_estado_TO              6.468800e-01
dtype: float32",84361.31716455784,57330179209.22901,0.3526474985824405,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,200,6,42,XGBRegressor,54495.75805533052,53955.08532460531,63966.44189419424,10863949993.961546,17378628020.579662,27859753399.53833,0.752534250597814,0.4784014231876901,0.5748511610019306,79623.31018850749,40363095530.18517,0.390567628799508,63681.34790227628,22164357065.460537,0.6653458684199184,63681.34790227628,22164357065.460537,0.6653458684199184,"_ano                    0.001440
_mes                    0.019669
car_c02_emitido         0.048793
cli_pressao_atm_med     0.003514
cli_temp_ar_med         0.004403
cli_temp_orvalho_med    0.007229
cli_umid_rel_med        0.010471
cli_umid_rel_min_max    0.000857
cli_umid_rel_min_med    0.001587
cli_umid_rel_min_min    0.064171
cli_veloc_vento_max     0.002294
cli_veloc_vento_med     0.002780
que_focos_qtd           0.053426
_estado_AC              0.000523
_estado_AM              0.000656
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.000074
_estado_RR              0.003465
_estado_TO              0.774650
dtype: float32",56235.37843723831,15286211218.319124,0.6574845144584023,68743.31842796181,86402.66922583523,35936726976.52872,59833250788.302605,0.5335584743806095,0.45227714238513705
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,200,6,42,XGBRegressor,79496.20129633142,87684.7374724515,83590.46938439146,25353813716.241642,53009238536.85289,39181526126.547264,0.29369805503471613,0.39219619245584836,0.34294712374528225,93191.58093613526,43626178748.06212,0.3412991443888389,93191.58093613526,43626178748.06212,0.3412991443888389,81117.82274475231,42524237008.79718,0.35793708947862535,"pc1    0.181983
pc2    0.305309
pc3    0.301872
pc4    0.166363
pc5    0.044474
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,200,6,42,XGBRegressor,83785.75214394432,71630.58997599539,85861.57977421179,27818775324.2822,25193275917.411827,39114063165.45385,0.338770581877058,0.5358834484301507,0.38275347298246926,80147.28785783038,39410522784.2244,0.4049502884961037,80147.28785783038,39410522784.2244,0.4049502884961037,80147.28785783038,39410522784.2244,0.4049502884961037,"pc1    0.157293
pc2    0.367917
pc3    0.302559
pc4    0.074450
pc5    0.097781
dtype: float32",102168.39720269563,64330138254.6675,0.27360638864019904,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,200,6,42,XGBRegressor,94112.52195710044,61355.684886323084,80015.98441116414,52077198236.582794,14982853557.642647,39187008253.71858,-0.18624652134308928,0.5503077065117485,0.3589751104081803,78111.2333850482,32398193980.565327,0.5108277023643124,78111.2333850482,32398193980.565327,0.5108277023643124,83127.95047171763,37839043317.56693,0.42867766730781387,"pc1    0.207580
pc2    0.317972
pc3    0.333265
pc4    0.071663
pc5    0.069520
dtype: float32",64861.034709624975,17223470366.083187,0.6140766844775424,80471.01057711696,99279.66992565524,42136352933.825165,69515166174.45912,0.45309029508093035,0.36364738731376967
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,200,6,42,XGBRegressor,74182.85120337296,84490.02859490308,79336.43989913803,22346538535.429832,48390489527.95669,35368514031.69326,0.37747418169658187,0.4451547580037427,0.4113144698501623,94563.94621744083,38462799524.66833,0.41925972699992686,94563.94621744083,38462799524.66833,0.41925972699992686,79331.09948308254,39767361014.37157,0.3995624765387443,"pc1     0.096658
pc2     0.230901
pc3     0.253700
pc4     0.172899
pc5     0.038390
pc6     0.019124
pc7     0.023356
pc8     0.030625
pc9     0.030896
pc10    0.103451
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,200,6,42,XGBRegressor,78124.40996371645,67100.48604531428,79990.74248337225,29952689114.214603,25334772134.255875,39257995976.84884,0.28804920549749113,0.5332767712978428,0.37191659598176824,73437.90709020628,37470170372.79325,0.43424718843725785,73437.90709020628,37470170372.79325,0.43424718843725785,73437.90709020628,37470170372.79325,0.43424718843725785,"pc1     0.102971
pc2     0.279488
pc3     0.249186
pc4     0.041968
pc5     0.087369
pc6     0.015881
pc7     0.043390
pc8     0.017604
pc9     0.054980
pc10    0.107163
dtype: float32",94747.33144108602,62486526682.076035,0.29442381114997074,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,200,6,42,XGBRegressor,85623.83214150695,55743.547681835975,73972.75858467682,36209866727.01917,11107310374.018742,33745710053.437084,0.17518933626023137,0.6666274646974383,0.46995912055778655,85220.07453562554,39862407950.85559,0.39812738641208434,85220.07453562554,39862407950.85559,0.39812738641208434,85220.07453562554,39862407950.85559,0.39812738641208434,"pc1     0.143118
pc2     0.301078
pc3     0.199734
pc4     0.063307
pc5     0.062997
pc6     0.026770
pc7     0.030735
pc8     0.045181
pc9     0.047822
pc10    0.079259
dtype: float32",61055.32586126498,17222692571.039635,0.6140941123962849,77134.32537907263,90306.76185970355,39827809236.76036,64360871358.34752,0.483054087963939,0.41083060147103956
FS=na|FE=na|OUT=0|NORM=1|PCA=na|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,True,0,200,6,42,XGBRegressor,58394.78557717371,78674.73738894796,68534.76148306084,13768479923.711359,43994135981.29289,28881307952.502125,0.6164401829968817,0.49556333769150385,0.5560017603441928,68337.57427212968,20814019791.579487,0.6857342760960916,68337.57427212968,20814019791.579487,0.6857342760960916,68337.57427212968,20814019791.579487,0.6857342760960916,"_ano                    0.006612
_mes                    0.022630
car_c02_emitido         0.061954
cli_pressao_atm_med     0.006823
cli_temp_ar_med         0.001678
cli_temp_orvalho_med    0.004423
cli_umid_rel_med        0.033806
cli_umid_rel_min_max    0.005822
cli_umid_rel_min_med    0.004260
cli_umid_rel_min_min    0.114248
cli_veloc_vento_max     0.006329
cli_veloc_vento_med     0.004914
que_focos_qtd           0.080727
_estado_AC              0.001950
_estado_AM              0.000363
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.000002
_estado_RR              0.019624
_estado_TO              0.623836
dtype: float32",,,,,,,,,
