case,col_rem,feat_eng,outliers,normalization,pca,n_estimators,max_depth,random_state,algorithm,mae_cv_fold_0,mae_cv_fold_1,mae_cv_avg,mse_cv_fold_0,mse_cv_fold_1,mse_cv_avg,r2_cv_fold_0,r2_cv_fold_1,r2_cv_avg,mae_best_model_test_mae,mae_best_model_test_mse,mae_best_model_test_r2,mse_best_model_test_mae,mse_best_model_test_mse,mse_best_model_test_r2,r2_best_model_test_mae,r2_best_model_test_mse,r2_best_model_test_r2,importance,mae_cv_fold_2,mse_cv_fold_2,r2_cv_fold_2,mae_cv_fold_3,mae_cv_fold_4,mse_cv_fold_3,mse_cv_fold_4,r2_cv_fold_3,r2_cv_fold_4
FS=stateless|FE=na|OUT=1|NORM=1|PCA=10|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,"['_estado_AC', '_estado_AM', '_estado_AP', '_estado_PA', '_estado_RO', '_estado_RR', '_estado_TO']",,True,True,10,200,6,42,RandomForestRegressor,26752.24147027393,23117.85128685881,24699.82616397556,1644469266.4445436,1179559689.5884764,1417839375.1460063,0.2949399754314193,0.2851948719566036,0.2355180997625237,28719.99071409506,2193613185.061843,0.1630581806304448,28614.76037596306,2136406527.8418703,0.1848845646528331,27275.208208608172,2075149635.284881,0.2082562581923788,"pc1     0.305831
pc2     0.054282
pc3     0.177652
pc4     0.045223
pc5     0.094977
pc6     0.067478
pc7     0.046415
pc8     0.070512
pc9     0.069962
pc10    0.067666
dtype: float64",23202.415193649995,1142560849.3601773,0.2647256122575598,22088.623815021263,28337.9990540738,1153293720.9956305,1969313349.3412044,0.204328228730825,0.1284018104362105
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,100,10,42,RandomForestRegressor,57769.27906802555,79115.68311130893,68442.48108966724,11875395039.375286,45484139801.24304,28679767420.30917,0.6691773984215738,0.4784789573076691,0.5738281778646215,77316.2778480653,29350968235.9227,0.5568370083094409,77316.2778480653,29350968235.9227,0.5568370083094409,77316.2778480653,29350968235.9227,0.5568370083094409,"_ano                    0.017508
_mes                    0.031575
car_c02_emitido         0.111404
cli_pressao_atm_med     0.062879
cli_temp_ar_med         0.035187
cli_temp_orvalho_med    0.073736
cli_umid_rel_med        0.066949
cli_umid_rel_min_max    0.018754
cli_umid_rel_min_med    0.104862
cli_umid_rel_min_min    0.077984
cli_veloc_vento_max     0.044185
cli_veloc_vento_med     0.059467
que_focos_qtd           0.232919
_estado_AC              0.000863
_estado_AM              0.000034
_estado_AP              0.000285
_estado_PA              0.020920
_estado_RO              0.000482
_estado_RR              0.001441
_estado_TO              0.038566
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,100,10,42,RandomForestRegressor,63314.09057663954,64683.95183066194,70754.94013562214,14549389295.195663,24007885951.507256,29916917638.252163,0.654172978301135,0.5577209857573586,0.5446116560747831,75179.29945226993,27157027727.68887,0.5899627720459177,75179.29945226993,27157027727.68887,0.5899627720459177,75179.29945226993,27157027727.68887,0.5899627720459177,"_ano                    0.018215
_mes                    0.040862
car_c02_emitido         0.150369
cli_pressao_atm_med     0.043590
cli_temp_ar_med         0.032544
cli_temp_orvalho_med    0.027530
cli_umid_rel_med        0.076105
cli_umid_rel_min_max    0.020872
cli_umid_rel_min_med    0.114163
cli_umid_rel_min_min    0.115323
cli_veloc_vento_max     0.030691
cli_veloc_vento_med     0.043046
que_focos_qtd           0.205565
_estado_AC              0.000173
_estado_AM              0.000195
_estado_AP              0.000116
_estado_PA              0.024352
_estado_RO              0.000172
_estado_RR              0.000459
_estado_TO              0.055658
dtype: float64",84266.77799956492,51193477668.053566,0.4219410041658559,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,100,10,42,RandomForestRegressor,55401.25660988952,50844.6487206998,65056.15325377843,11240885923.571972,12585193367.39372,27413223914.02753,0.7439481716532772,0.6222705876685579,0.5969610550014355,73967.45947233817,29021529943.81203,0.5618111153963243,68064.57577735781,21225694037.189865,0.679518508738088,68064.57577735781,21225694037.189865,0.679518508738088,"_ano                    0.012122
_mes                    0.050221
car_c02_emitido         0.145980
cli_pressao_atm_med     0.051905
cli_temp_ar_med         0.030471
cli_temp_orvalho_med    0.052109
cli_umid_rel_med        0.053138
cli_umid_rel_min_max    0.016460
cli_umid_rel_min_med    0.081133
cli_umid_rel_min_min    0.119383
cli_veloc_vento_max     0.029094
cli_veloc_vento_med     0.036671
que_focos_qtd           0.238925
_estado_AC              0.000374
_estado_AM              0.000064
_estado_AP              0.000044
_estado_PA              0.032957
_estado_RO              0.000331
_estado_RR              0.001075
_estado_TO              0.047543
dtype: float64",61892.823248421184,17415613883.70902,0.6097713579781667,65382.45641370464,91759.58127617704,29799283190.615505,66025143204.84743,0.6132195588409266,0.3955955988662488
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,100,10,42,RandomForestRegressor,68823.43114612298,83823.6942166981,76323.56268141055,17104842345.980951,49214329168.27152,33159585757.12624,0.5234964036376234,0.4357086145764788,0.4796025091070511,85366.82707573427,35631832893.82719,0.4620037902081796,85366.82707573427,35631832893.82719,0.4620037902081796,85366.82707573427,35631832893.82719,0.4620037902081796,"pc1    0.193604
pc2    0.427865
pc3    0.229449
pc4    0.081769
pc5    0.067314
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,100,10,42,RandomForestRegressor,70383.23374151617,66253.74052124553,75250.19876972777,17489330615.696266,25167630249.1886,31317650505.308697,0.5842929901992373,0.5363558990609256,0.5138107841246052,71826.64808687546,28216578349.574,0.5739648799263822,81831.59877019051,36755239636.20944,0.4450417503586682,81831.59877019051,36755239636.20944,0.4450417503586682,"pc1    0.222929
pc2    0.393997
pc3    0.216309
pc4    0.094898
pc5    0.071868
dtype: float64",89113.6220464216,51295990651.04122,0.420783463113653,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,100,10,42,RandomForestRegressor,74220.584070527,57751.82528525548,73954.96739318603,23478682848.87535,11583835068.69621,31532476342.147217,0.4651880900222639,0.6523251502532053,0.5257148102603519,79502.50064374896,35238045262.84095,0.4679494920070394,79502.50064374896,35238045262.84095,0.4679494920070394,79502.50064374896,35238045262.84095,0.4679494920070394,"pc1    0.211078
pc2    0.378209
pc3    0.229002
pc4    0.100207
pc5    0.081504
dtype: float64",64077.91353801419,17890254606.649044,0.5991361655584264,75784.11295349951,97940.40111863404,33865343453.597183,70844265732.91829,0.5604440416502746,0.3514806038175898
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,100,10,42,RandomForestRegressor,74166.67780165115,83979.50757220866,79073.09268692991,19634809954.28244,49282296554.37882,34458553254.33063,0.4530170247780318,0.4349293006831822,0.443973162730607,87453.780594897,38197071774.95268,0.4232718844045011,87453.780594897,38197071774.95268,0.4232718844045011,87453.780594897,38197071774.95268,0.4232718844045011,"pc1     0.111675
pc2     0.311142
pc3     0.139419
pc4     0.045699
pc5     0.036643
pc6     0.034289
pc7     0.040396
pc8     0.061053
pc9     0.075103
pc10    0.144580
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,100,10,42,RandomForestRegressor,67728.45564653334,68097.88684657252,75903.50098625534,17112818758.47409,24402994216.053925,32407354266.78356,0.5932423674944375,0.5504422068546353,0.5048896401157331,83886.53311333455,35938563065.279274,0.4573725474045402,83886.53311333455,35938563065.279274,0.4573725474045402,83886.53311333455,35938563065.279274,0.4573725474045402,"pc1     0.164894
pc2     0.312458
pc3     0.131362
pc4     0.062101
pc5     0.034225
pc6     0.028232
pc7     0.047298
pc8     0.066203
pc9     0.052510
pc10    0.100715
dtype: float64",91884.16046566016,55706249825.82266,0.3709843459981267,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,100,10,42,RandomForestRegressor,74200.078883319,58174.80259384276,72689.23457929191,24231621063.870968,11518461952.76283,31449528996.11232,0.4480371992568425,0.6542872455458979,0.5230630112804697,80335.13145563604,34701874640.82772,0.4760449992829171,80335.13145563604,34701874640.82772,0.4760449992829171,80335.13145563604,34701874640.82772,0.4760449992829171,"pc1     0.145242
pc2     0.312141
pc3     0.169750
pc4     0.062334
pc5     0.043289
pc6     0.023512
pc7     0.039550
pc8     0.050580
pc9     0.035797
pc10    0.117806
dtype: float64",65308.84607450354,19169267154.433567,0.5704775530637088,68688.21260980841,97074.23273498577,31567657253.51019,70760637555.98402,0.5902669094162563,0.3522461491196431
