case,col_rem,feat_eng,outliers,normalization,pca,n_estimators,max_depth,random_state,algorithm,mae_cv_fold_0,mae_cv_fold_1,mae_cv_avg,mse_cv_fold_0,mse_cv_fold_1,mse_cv_avg,r2_cv_fold_0,r2_cv_fold_1,r2_cv_avg,mae_best_model_test_mae,mae_best_model_test_mse,mae_best_model_test_r2,mse_best_model_test_mae,mse_best_model_test_mse,mse_best_model_test_r2,r2_best_model_test_mae,r2_best_model_test_mse,r2_best_model_test_r2,importance,mae_cv_fold_2,mse_cv_fold_2,r2_cv_fold_2,mae_cv_fold_3,mae_cv_fold_4,mse_cv_fold_3,mse_cv_fold_4,r2_cv_fold_3,r2_cv_fold_4
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,200,6,42,RandomForestRegressor,60181.07165550949,80241.92854625857,70211.50010088403,12339897221.550531,45315073811.429306,28827485516.489918,0.656237380861185,0.48041746755930315,0.5683274242102441,79645.25533596802,29980968285.247932,0.5473247937760047,79645.25533596802,29980968285.247932,0.5473247937760047,79645.25533596802,29980968285.247932,0.5473247937760047,"_ano                    0.013992
_mes                    0.028951
car_c02_emitido         0.112281
cli_pressao_atm_med     0.065942
cli_temp_ar_med         0.030432
cli_temp_orvalho_med    0.071443
cli_umid_rel_med        0.056340
cli_umid_rel_min_max    0.016765
cli_umid_rel_min_med    0.110219
cli_umid_rel_min_min    0.091343
cli_veloc_vento_max     0.038242
cli_veloc_vento_med     0.055168
que_focos_qtd           0.241261
_estado_AC              0.000837
_estado_AM              0.000137
_estado_AP              0.000094
_estado_PA              0.022592
_estado_RO              0.000779
_estado_RR              0.000403
_estado_TO              0.042778
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,200,6,42,RandomForestRegressor,63700.37567114778,68944.95291974256,73791.69456001083,14259944794.258076,24712766245.812122,30617057455.78658,0.6610528361202817,0.5447355124693765,0.5362343672102988,75018.45952863828,26811703535.663998,0.5951767363966258,75018.45952863828,26811703535.663998,0.5951767363966258,75018.45952863828,26811703535.663998,0.5951767363966258,"_ano                    0.013999
_mes                    0.035978
car_c02_emitido         0.150560
cli_pressao_atm_med     0.044742
cli_temp_ar_med         0.032571
cli_temp_orvalho_med    0.030758
cli_umid_rel_med        0.070152
cli_umid_rel_min_max    0.016420
cli_umid_rel_min_med    0.111604
cli_umid_rel_min_min    0.131216
cli_veloc_vento_max     0.029043
cli_veloc_vento_med     0.034396
que_focos_qtd           0.209724
_estado_AC              0.000180
_estado_AM              0.000228
_estado_AP              0.000016
_estado_PA              0.032422
_estado_RO              0.000476
_estado_RR              0.000280
_estado_TO              0.055235
dtype: float64",88729.75508914216,52878461327.289536,0.40291475304123847,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,200,6,42,RandomForestRegressor,56051.952688841724,53892.699702149155,67955.6775779532,10912617471.414415,13935228022.515862,28307007322.895374,0.7514256727982032,0.581750924440533,0.5804525341557161,77212.71780524154,30294129004.62206,0.5425964577237736,69823.49299311239,21097374581.967667,0.6814559723751059,69823.49299311239,21097374581.967667,0.6814559723751059,"_ano                    0.009346
_mes                    0.051282
car_c02_emitido         0.149324
cli_pressao_atm_med     0.052443
cli_temp_ar_med         0.025773
cli_temp_orvalho_med    0.048778
cli_umid_rel_med        0.059507
cli_umid_rel_min_max    0.017455
cli_umid_rel_min_med    0.067619
cli_umid_rel_min_min    0.121282
cli_veloc_vento_max     0.029805
cli_veloc_vento_med     0.037229
que_focos_qtd           0.244716
_estado_AC              0.000226
_estado_AM              0.000156
_estado_AP              0.000000
_estado_PA              0.036387
_estado_RO              0.000313
_estado_RR              0.000453
_estado_TO              0.047907
dtype: float64",66225.8902813797,18237454036.301785,0.5913565281107402,71416.14708354294,92191.69813385252,31643057105.76717,66806679978.47764,0.589288255401905,0.38844129002719885
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,200,6,42,RandomForestRegressor,69483.62226523503,84483.08280543242,76983.35253533372,16499078439.686815,48982992864.63179,32741035652.1593,0.5403716646927772,0.4383611161036921,0.48936639039823465,84413.12136298028,33913720151.70825,0.487945148487707,84413.12136298028,33913720151.70825,0.487945148487707,84413.12136298028,33913720151.70825,0.487945148487707,"pc1    0.196325
pc2    0.437952
pc3    0.217728
pc4    0.086063
pc5    0.061932
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,200,6,42,RandomForestRegressor,71602.28902530097,68358.61078802109,77108.70274522768,17862143474.83277,25800311478.473995,32142079651.05721,0.5754315350473849,0.5247004942083964,0.5014472263026627,74403.50010219947,29152113853.672634,0.5598394613202027,82907.23749139196,37885917045.14337,0.4279699325176872,82907.23749139196,37885917045.14337,0.4279699325176872,"pc1    0.235801
pc2    0.396340
pc3    0.226556
pc4    0.085186
pc5    0.056119
dtype: float64",91365.20842236101,52763783999.864876,0.40420964965220674,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,200,6,42,RandomForestRegressor,73486.82571083124,59717.65556718885,75289.88985531029,22604025344.849815,12157988908.154058,31530285004.954784,0.4851115777798687,0.6350926146826241,0.524821675263848,79441.3077038341,34236759895.50184,0.4830676514953146,79441.3077038341,34236759895.50184,0.4830676514953146,79441.3077038341,34236759895.50184,0.4830676514953146,"pc1    0.206471
pc2    0.400797
pc3    0.227369
pc4    0.097225
pc5    0.068138
dtype: float64",66707.56002900051,18150789147.535194,0.5932984132535888,78269.72828944914,98267.67968008177,34140687135.515453,70597934488.71942,0.5568702123711781,0.35373555823198055
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,200,6,42,RandomForestRegressor,76972.24886249007,85338.69820457071,81155.4735335304,20009821731.60318,48975131035.024574,34492476383.31387,0.4425700146883089,0.43845125982394584,0.4405106372561274,88482.1444120403,36303636003.72989,0.45186040162833974,88482.1444120403,36303636003.72989,0.45186040162833974,88482.1444120403,36303636003.72989,0.45186040162833974,"pc1     0.108638
pc2     0.345037
pc3     0.129472
pc4     0.044734
pc5     0.027261
pc6     0.031372
pc7     0.037053
pc8     0.066856
pc9     0.071018
pc10    0.138558
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,200,6,42,RandomForestRegressor,68812.79699132423,68932.91079056225,78013.8041236018,17769975218.867794,24389165816.14721,33201783088.0701,0.5776222987151132,0.5506969569434872,0.49321886492888733,84889.18567797556,35758757381.871765,0.46008738883468814,84889.18567797556,35758757381.871765,0.46008738883468814,84889.18567797556,35758757381.871765,0.46008738883468814,"pc1     0.163004
pc2     0.327269
pc3     0.136074
pc4     0.061553
pc5     0.026887
pc6     0.025176
pc7     0.039168
pc8     0.060963
pc9     0.051806
pc10    0.108100
dtype: float64",96295.7045889189,57446208229.1953,0.35133733912806175,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,200,6,42,RandomForestRegressor,76674.0859677338,59457.37501902363,75099.12292746901,24058641460.9056,11778151717.53209,31475443348.136024,0.4519774352762378,0.6464929702120819,0.5230101822931104,82093.58040130153,33814610105.57278,0.48944158649952796,82093.58040130153,33814610105.57278,0.48944158649952796,82093.58040130153,33814610105.57278,0.48944158649952796,"pc1     0.144020
pc2     0.334542
pc3     0.168960
pc4     0.064997
pc5     0.032357
pc6     0.019972
pc7     0.035820
pc8     0.047541
pc9     0.048597
pc10    0.103194
dtype: float64",68455.99457027909,19010660988.91135,0.5740314139268001,71298.25813479154,99609.90094551702,31076122482.193966,71453640091.13712,0.5966467956195117,0.3459022964309203
FS=na|FE=na|OUT=0|NORM=1|PCA=na|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,True,0,200,6,42,RandomForestRegressor,60100.071743238965,80291.21007897884,70195.6409111089,12315964422.168385,45343276150.12471,28829620286.146545,0.656904096446511,0.48009409960847327,0.5684990980274922,79498.64155750952,29925618143.4602,0.5481605118425429,79498.64155750952,29925618143.4602,0.5481605118425429,79498.64155750952,29925618143.4602,0.5481605118425429,"_ano                    0.013992
_mes                    0.028951
car_c02_emitido         0.112281
cli_pressao_atm_med     0.065942
cli_temp_ar_med         0.030432
cli_temp_orvalho_med    0.071443
cli_umid_rel_med        0.056340
cli_umid_rel_min_max    0.016765
cli_umid_rel_min_med    0.110219
cli_umid_rel_min_min    0.091343
cli_veloc_vento_max     0.038242
cli_veloc_vento_med     0.055168
que_focos_qtd           0.241261
_estado_AC              0.000837
_estado_AM              0.000137
_estado_AP              0.000094
_estado_PA              0.022592
_estado_RO              0.000779
_estado_RR              0.000403
_estado_TO              0.042778
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=1|PCA=na|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,True,0,200,6,42,RandomForestRegressor,63616.73407555847,69023.41511684011,73792.23179903638,14242189995.47763,24731716923.260437,30607582501.86842,0.6614748530901027,0.5443863985591388,0.5363701572729337,74872.80825639922,26750759295.83704,0.5960969183623768,74872.80825639922,26750759295.83704,0.5960969183623768,74872.80825639922,26750759295.83704,0.5960969183623768,"_ano                    0.013999
_mes                    0.035978
car_c02_emitido         0.150560
cli_pressao_atm_med     0.044742
cli_temp_ar_med         0.032571
cli_temp_orvalho_med    0.030758
cli_umid_rel_med        0.070152
cli_umid_rel_min_max    0.016420
cli_umid_rel_min_med    0.111604
cli_umid_rel_min_min    0.131216
cli_veloc_vento_max     0.029043
cli_veloc_vento_med     0.034396
que_focos_qtd           0.209724
_estado_AC              0.000180
_estado_AM              0.000228
_estado_AP              0.000016
_estado_PA              0.032422
_estado_RO              0.000476
_estado_RR              0.000280
_estado_TO              0.055235
dtype: float64",88736.54620471054,52848840586.86719,0.40324922016955955,,,,,,
FS=na|FE=na|OUT=0|NORM=1|PCA=na|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=6|RANDOM_STATE=42,,,False,True,0,200,6,42,RandomForestRegressor,56098.48663247952,53785.58375430867,67983.62068492503,10917757721.203909,13914102372.540928,28320990902.342354,0.751308585020095,0.5823849853657171,0.580426515976807,77146.96946695258,30242645078.713875,0.5433738007553919,69778.31270430595,21100042193.513622,0.6814156947698198,69778.31270430595,21100042193.513622,0.6814156947698198,"_ano                    0.009346
_mes                    0.051282
car_c02_emitido         0.149324
cli_pressao_atm_med     0.052443
cli_temp_ar_med         0.025773
cli_temp_orvalho_med    0.048778
cli_umid_rel_med        0.059507
cli_umid_rel_min_max    0.017455
cli_umid_rel_min_med    0.067619
cli_umid_rel_min_min    0.121282
cli_veloc_vento_max     0.029805
cli_veloc_vento_med     0.037229
que_focos_qtd           0.244716
_estado_AC              0.000226
_estado_AM              0.000156
_estado_AP              0.000000
_estado_PA              0.036387
_estado_RO              0.000313
_estado_RR              0.000453
_estado_TO              0.047907
dtype: float64",66196.09931322096,18203041234.504116,0.5921276097965965,71522.02182738666,92315.91189722934,31725860541.90464,66844192641.55816,0.5882135064103311,0.3880978932912953
