case,col_rem,feat_eng,outliers,normalization,pca,n_estimators,max_depth,random_state,algorithm,mae_cv_fold_0,mae_cv_fold_1,mae_cv_avg,mse_cv_fold_0,mse_cv_fold_1,mse_cv_avg,r2_cv_fold_0,r2_cv_fold_1,r2_cv_avg,mae_best_model_test_mae,mae_best_model_test_mse,mae_best_model_test_r2,mse_best_model_test_mae,mse_best_model_test_mse,mse_best_model_test_r2,r2_best_model_test_mae,r2_best_model_test_mse,r2_best_model_test_r2,importance,mae_cv_fold_2,mse_cv_fold_2,r2_cv_fold_2,mae_cv_fold_3,mae_cv_fold_4,mse_cv_fold_3,mse_cv_fold_4,r2_cv_fold_3,r2_cv_fold_4
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,200,10,42,RandomForestRegressor,58165.96648916322,78268.19644759904,68217.08146838113,11954093744.241604,45034189282.95158,28494141513.59659,0.6669850241722622,0.4836380889189237,0.575311556545593,77387.78317905558,29716368995.016724,0.5513199128506303,77387.78317905558,29716368995.016724,0.5513199128506303,77387.78317905558,29716368995.016724,0.5513199128506303,"_ano                    0.016511
_mes                    0.031099
car_c02_emitido         0.117682
cli_pressao_atm_med     0.064463
cli_temp_ar_med         0.032549
cli_temp_orvalho_med    0.070272
cli_umid_rel_med        0.058069
cli_umid_rel_min_max    0.018116
cli_umid_rel_min_med    0.110207
cli_umid_rel_min_min    0.088547
cli_veloc_vento_max     0.039048
cli_veloc_vento_med     0.055315
que_focos_qtd           0.234105
_estado_AC              0.000628
_estado_AM              0.000203
_estado_AP              0.000160
_estado_PA              0.018609
_estado_RO              0.000939
_estado_RR              0.001067
_estado_TO              0.042412
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,200,10,42,RandomForestRegressor,62836.39601257744,64716.66940372022,70953.95586414506,14038835065.270351,24093194883.29792,29988042944.814255,0.66630843259193,0.5561494042222466,0.545729250554476,74170.62388577659,26336158711.364048,0.6023568697852681,74170.62388577659,26336158711.364048,0.6023568697852681,74170.62388577659,26336158711.364048,0.6023568697852681,"_ano                    0.014089
_mes                    0.037445
car_c02_emitido         0.152109
cli_pressao_atm_med     0.047157
cli_temp_ar_med         0.032627
cli_temp_orvalho_med    0.033041
cli_umid_rel_med        0.073949
cli_umid_rel_min_max    0.017784
cli_umid_rel_min_med    0.108946
cli_umid_rel_min_min    0.127735
cli_veloc_vento_max     0.028174
cli_veloc_vento_med     0.036902
que_focos_qtd           0.205116
_estado_AC              0.000119
_estado_AM              0.000170
_estado_AP              0.000109
_estado_PA              0.029821
_estado_RO              0.000515
_estado_RR              0.000566
_estado_TO              0.053623
dtype: float64",85308.8021761375,51832098885.8745,0.41472991484925126,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,200,10,42,RandomForestRegressor,55255.34343728087,50167.62336867779,65159.133634998834,10787843906.780098,12983903691.06661,27609021027.641975,0.7542678419627313,0.6103037777948509,0.5933135930630703,74467.39220561771,29836844124.006588,0.5495008887503585,66830.28237147856,20072981381.45287,0.6969230313068104,66830.28237147856,20072981381.45287,0.6969230313068104,"_ano                    0.011667
_mes                    0.052978
car_c02_emitido         0.155204
cli_pressao_atm_med     0.055013
cli_temp_ar_med         0.029248
cli_temp_orvalho_med    0.047500
cli_umid_rel_med        0.055478
cli_umid_rel_min_max    0.018229
cli_umid_rel_min_med    0.071478
cli_umid_rel_min_min    0.119684
cli_veloc_vento_max     0.029232
cli_veloc_vento_med     0.039672
que_focos_qtd           0.238359
_estado_AC              0.000244
_estado_AM              0.000086
_estado_AP              0.000030
_estado_PA              0.028821
_estado_RO              0.000351
_estado_RR              0.000776
_estado_TO              0.045948
dtype: float64",63055.42592945044,17792613272.472404,0.6013239980112688,66044.53812996359,91272.7373096215,30357340709.340332,66123403558.550415,0.6059762391978385,0.3946961083486624
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,200,10,42,RandomForestRegressor,67676.61424629594,83697.187379989,75686.90081314248,16259929883.22672,49101939433.13217,32680934658.179447,0.5470338218125639,0.4369972750219422,0.49201554841725303,83871.73588307513,33644308425.240578,0.4920129293438018,83871.73588307513,33644308425.240578,0.4920129293438018,83871.73588307513,33644308425.240578,0.4920129293438018,"pc1    0.195094
pc2    0.433444
pc3    0.216731
pc4    0.088410
pc5    0.066321
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,200,10,42,RandomForestRegressor,70237.39710383792,66410.65525842454,75478.21171353971,17757870398.15788,25261738940.683014,31579394739.20724,0.5779100203513532,0.5346222062489102,0.5095146717224263,72787.44875258225,29246354125.923798,0.5584165508167787,81672.22757763174,36579546351.33399,0.44769449970306807,81672.22757763174,36579546351.33399,0.44769449970306807,"pc1    0.228512
pc2    0.396084
pc3    0.218358
pc4    0.090187
pc5    0.066860
dtype: float64",89786.58277835668,51718574878.78082,0.4160117885670156,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,200,10,42,RandomForestRegressor,72480.34609668143,57720.60996330729,73966.17978628546,22625220145.23373,11253502437.908865,31363132979.565174,0.48462878955244215,0.6622396860778577,0.5307384657259938,79305.0574125215,35254743197.60166,0.4676973740304148,79305.0574125215,35254743197.60166,0.4676973740304148,79305.0574125215,35254743197.60166,0.4676973740304148,"pc1    0.202782
pc2    0.391992
pc3    0.226189
pc4    0.100432
pc5    0.078605
dtype: float64",64624.717763035434,17863317176.531456,0.5997397478865909,76947.83386230667,98057.39124609648,34259627728.586636,70813997409.56517,0.5553264203690174,0.35175768474406055
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,200,10,42,RandomForestRegressor,74118.58827087059,83669.71896104464,78894.15361595762,19700339520.699688,49051475770.79262,34375907645.746155,0.45119151399960455,0.4375758912586436,0.4443837026291241,87220.28583426778,36546770150.13675,0.4481893794379398,87220.28583426778,36546770150.13675,0.4481893794379398,87220.28583426778,36546770150.13675,0.4481893794379398,"pc1     0.110589
pc2     0.330719
pc3     0.130950
pc4     0.041180
pc5     0.028765
pc6     0.032308
pc7     0.042889
pc8     0.070091
pc9     0.076814
pc10    0.135696
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,200,10,42,RandomForestRegressor,67494.74561027078,66751.07610071474,75563.16656137105,17474832467.50023,24130355064.14303,32399566858.910492,0.5846375992621372,0.5554648304873309,0.5041199201261074,74228.24015949185,29821056137.39743,0.5497392676454684,83523.44213275725,35931382537.9149,0.4574809644067711,83523.44213275725,35931382537.9149,0.4574809644067711,"pc1     0.161869
pc2     0.319191
pc3     0.137993
pc4     0.058197
pc5     0.030724
pc6     0.026515
pc7     0.044888
pc8     0.064792
pc9     0.050194
pc10    0.105638
dtype: float64",92443.67797312762,55593513045.08823,0.37225733062885413,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,200,10,42,RandomForestRegressor,73047.49679976987,57101.217325745456,72023.98759014046,23654775776.05318,11108365766.893835,31179301535.302032,0.4611769367849323,0.6665957883521609,0.5292936425020481,79908.32596154901,33707672312.072754,0.49105621372788144,79908.32596154901,33707672312.072754,0.49105621372788144,79908.32596154901,33707672312.072754,0.49105621372788144,"pc1     0.143229
pc2     0.319825
pc3     0.166185
pc4     0.066216
pc5     0.038561
pc6     0.025535
pc7     0.038768
pc8     0.051229
pc9     0.050706
pc10    0.099745
dtype: float64",65720.98843185433,19170920905.97652,0.5704404977394948,66734.2398403164,97515.99555301623,30942125751.387074,71020319476.19955,0.5983860090872936,0.3498689805463592
FS=na|FE=na|OUT=0|NORM=1|PCA=na|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,True,0,200,10,42,RandomForestRegressor,58138.254492284395,78454.26897384113,68296.26173306277,11943211015.94631,45064782379.31128,28503996697.628796,0.6672881932436896,0.4832873085461956,0.5752877508949426,77203.97220608965,29629894620.58659,0.5526255679884435,77203.97220608965,29629894620.58659,0.5526255679884435,77203.97220608965,29629894620.58659,0.5526255679884435,"_ano                    0.016511
_mes                    0.031099
car_c02_emitido         0.117682
cli_pressao_atm_med     0.064463
cli_temp_ar_med         0.032549
cli_temp_orvalho_med    0.070272
cli_umid_rel_med        0.058069
cli_umid_rel_min_max    0.018116
cli_umid_rel_min_med    0.110207
cli_umid_rel_min_min    0.088547
cli_veloc_vento_max     0.039048
cli_veloc_vento_med     0.055315
que_focos_qtd           0.234105
_estado_AC              0.000628
_estado_AM              0.000203
_estado_AP              0.000160
_estado_PA              0.018609
_estado_RO              0.000939
_estado_RR              0.001067
_estado_TO              0.042412
dtype: float64",,,,,,,,,
